name,price,Net Quantity,Best Sellers Rank,Product Dimensions
"Being Marwari Imli Candy, Khatti, Methi Imli, Tamarind Twist Candy, Tamarind Candy - (1.8kg)",₹ 549.00,1800.00 gram,"#3,442 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #23 in Candies & Mints",
"Alpenliebe Gold, Caramel Candy Pouch, 184 g, 46 pc",₹ 45.00,184.0 gram,"#1,417 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #3 in Candies & Mints",
Anandi Fatafat Khatti Mitthi Digestive Candy (60 Pouches X 12Grams) Sweet Candy (60 Pouches in Box) Khatti Mitthi Toffee (720 g),₹ 295.00,720 gram,18 x 12 x 11 cm; 12 Grams,"#6,977 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #70 in Candies & Mints"
Fisherman's Friend Sugar Free Mouth Freshener - Lemon - Refreshing and Fruity Lozenges 25g,₹ 89.00,25 gram,13 x 10 x 3 cm; 25 Grams,"#7,431 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #77 in Candies & Mints"
Axium Sweet Fruit Ball Candy (250 Grams),₹ 196.00,250 gram,"#6,516 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #65 in Candies & Mints",
New Tree Hoots Candy Combo Pack of Orange Candy & Pan Candy Combined Weight 420gms,₹ 237.00,420 gram,"#4,216 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #35 in Candies & Mints",
"GO DESi Imli Pop Tamarind & Jaggery Candy (100 Piece), 900 g",₹ 500.00,900.0 gram,5.5 x 3 x 17 cm; 900 Grams,"#5,293 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #45 in Candies & Mints"
GO DESi POPz Candy Combo - Imli Pop (50 Pieces + 100 Pieces),₹ 720.00,5000 count,"#2,648 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #14 in Candies & Mints #53 in Nut Butters #69 in Chocolate",
"Swad Digestive Chocolate Candy Pouch (Original Swad Toffee) 2 Packs, 200 Candies",₹ 200.00,558.0 gram,14 x 4 x 23 cm; 556 Grams,"#4,606 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #39 in Candies & Mints"
"GO DESi Imli Pop Tamarind & Jaggery Candy (40 Piece*9g), 360 g",₹ 220.00,400.0 gram,"#1,996 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #7 in Candies & Mints #39 in Chocolate",
"Swad Digestive Chocolate Candy Jar, 300 Candies",₹ 299.00,300 count,8 x 7 x 23 cm; 898 Grams,"#3,525 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #24 in Candies & Mints"
"Rostaa Berrylicious Sweet and Delicious, 200g (Gluten Free, Non-GMO & Vegan)",,200 gram,"#6,254 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #59 in Candies & Mints",
"Storck Werther's Original Cream Candies Sugar Free, 70g",₹ 190.00,70 gram,3 x 13 x 19 cm; 70 Grams,"#5,709 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #50 in Candies & Mints"
"Mee Mee Tender Tongue Cleaner Brush (Single Pack, Orange)",₹ 141.00,3 x 1.5 x 20 cm; 20 Grams,#432 in Baby Products ( See Top 100 in Baby Products ) #7 in Baby Toothbrushes #18 in Breath Fresheners #35 in Manual Toothbrushes,1 U
